trimestre;concepto;valor
T1/2019;PIB;62490
T1/2019;industria;11238
T1/2019;construcción;3041
T1/2019;servicios;42493
T2/2019;PIB;63436
T2/2019;industria;11282
T2/2019;construcción;3071
T2/2019;servicios;43242
T3/2019;PIB;63229
T3/2019;industria;11280
T3/2019;construcción;3064
T3/2019;servicios;43221
T4/2019;PIB;62401
T4/2019;industria;11165
T4/2019;construcción;3042
T4/2019;servicios;42747
T1/2020;PIB;59423
T1/2020;industria;10794
T1/2020;construcción;2667
T1/2020;servicios;40672
T2/2020;PIB;49301
T2/2020;industria;9118
T2/2020;construcción;2072
T2/2020;servicios;34127
T3/2020;PIB;57449
T3/2020;industria;10549
T3/2020;construcción;2708
T3/2020;servicios;39194
T4/2020;PIB;57734
T4/2020;industria;10777
T4/2020;construcción;2634
T4/2020;servicios;39039
T1/2021;PIB;58124
T1/2021;industria;11039
T1/2021;construcción;2602
T1/2021;servicios;39360
T2/2021;PIB;60152
T2/2021;industria;11119
T2/2021;construcción;2634
T2/2021;servicios;40825
T3/2021;PIB;61642
T3/2021;industria;11027
T3/2021;construcción;2654
T3/2021;servicios;42037
T4/2021;PIB;63872
T4/2021;industria;11296
T4/2021;construcción;2742
T4/2021;servicios;43579
T1/2022;PIB;64950
T1/2022;industria;11396
T1/2022;construcción;2740
T1/2022;servicios;44650
T2/2022;PIB;67413
T2/2022;industria;11733
T2/2022;construcción;2838
T2/2022;servicios;46566
T3/2022;PIB;68521
T3/2022;industria;11931
T3/2022;construcción;2916
T3/2022;servicios;47565
T4/2022;PIB;68649
T4/2022;industria;12099
T4/2022;construcción;2971
T4/2022;servicios;48606
T1/2023;PIB;71626
T1/2023;industria;12377
T1/2023;construcción;3092
T1/2023;servicios;50003
T2/2023;PIB;72747
T2/2023;industria;12404
T2/2023;construcción;3121
T2/2023;servicios;50887
T3/2023;PIB;73548
T3/2023;industria;12537
T3/2023;construcción;3181
T3/2023;servicios;51239
T4/2023;PIB;74582
T4/2023;industria;12716
T4/2023;construcción;3226
T4/2023;servicios;52277
T1/2024;PIB;75905
T1/2024;industria;12987
T1/2024;construcción;3286
T1/2024;servicios;53192
T2/2024;PIB;77268
T2/2024;industria;13062
T2/2024;construcción;3343
T2/2024;servicios;54176
